Country,year,AverageTemperature
American Samoa,2002,27.53791666666666
American Samoa,2003,27.26483333333333
American Samoa,2004,27.281166666666667
American Samoa,2005,27.373500000000003
American Samoa,2006,27.08125
American Samoa,2007,27.452416666666664
American Samoa,2008,26.995083333333337
American Samoa,2009,27.034249999999997
American Samoa,2010,27.453416666666666
American Samoa,2011,27.009500000000003
American Samoa,2012,27.201416666666663
Andorra,1992,11.498416666666664
Andorra,1993,11.432166666666667
Andorra,1994,12.632249999999999
Andorra,1995,12.376416666666664
Andorra,1996,11.741416666666666
Andorra,1997,12.896166666666668
Andorra,1998,12.118749999999999
Andorra,1999,12.178666666666667
Andorra,2000,12.311916666666667
Andorra,2001,12.216083333333335
Andorra,2002,12.319583333333334
Andorra,2003,12.900666666666668
Andorra,2004,12.043
Andorra,2005,11.643416666666667
Andorra,2006,12.834333333333333
Andorra,2007,12.15525
Andorra,2008,11.978583333333333
Andorra,2009,12.566666666666665
Andorra,2010,11.480833333333335
Andorra,2011,12.994416666666668
Andorra,2012,12.339916666666667
Angola,1992,22.498583333333332
Angola,1993,22.291
Angola,1994,22.189416666666663
Angola,1995,22.936166666666665
Angola,1996,22.479249999999997
Angola,1997,22.317166666666665
Angola,1998,23.120166666666666
Angola,1999,22.382083333333338
Angola,2000,22.360666666666663
Angola,2001,22.502916666666668
Angola,2002,22.9255
Angola,2003,23.06658333333333
Angola,2004,22.572833333333335
Angola,2005,22.96608333333333
Angola,2006,21.947083333333335
Angola,2007,22.42708333333334
Angola,2008,22.287333333333333
Angola,2009,22.3165
Angola,2010,22.6815
Angola,2011,22.029666666666667
Angola,2012,22.12333333333333
Anguilla,1992,27.050333333333338
Anguilla,1993,27.163416666666663
Anguilla,1994,27.16925
Anguilla,1995,27.550333333333338
Anguilla,1996,27.056833333333334
Anguilla,1997,27.393583333333336
Anguilla,1998,27.740833333333338
Anguilla,1999,27.344583333333336
Anguilla,2000,27.05275
Anguilla,2001,27.4085
Anguilla,2002,27.53825
Anguilla,2003,27.67741666666667
Anguilla,2004,27.334000000000003
Anguilla,2005,27.732333333333333
Anguilla,2006,27.636250000000004
Anguilla,2007,27.68508333333334
Anguilla,2008,27.140416666666667
Anguilla,2009,27.46858333333333
Anguilla,2010,27.855999999999998
Anguilla,2011,27.528333333333336
Anguilla,2012,27.639250000000004
Antarctica,1992,
Antarctica,1993,
Antarctica,1994,
Antarctica,1995,
Antarctica,1996,
Antarctica,1997,
Antarctica,1998,
Antarctica,1999,
Antarctica,2000,
Antarctica,2001,
Antarctica,2002,
Antarctica,2003,
Antarctica,2004,
Antarctica,2005,
Antarctica,2006,
Antarctica,2007,
Antarctica,2008,
Antarctica,2009,
Antarctica,2010,
Antarctica,2011,
Antarctica,2012,
Antigua And Barbuda,1992,26.894750000000002
Antigua And Barbuda,1993,26.95616666666667
Antigua And Barbuda,1994,26.946083333333334
Antigua And Barbuda,1995,27.38033333333333
Antigua And Barbuda,1996,26.942333333333334
Antigua And Barbuda,1997,27.289333333333335
Antigua And Barbuda,1998,27.60175
Antigua And Barbuda,1999,27.13175
Antigua And Barbuda,2000,26.892083333333336
Antigua And Barbuda,2001,27.253833333333336
Antigua And Barbuda,2002,27.361749999999997
Antigua And Barbuda,2003,27.513833333333338
Antigua And Barbuda,2004,27.151166666666672
Antigua And Barbuda,2005,27.59816666666667
Antigua And Barbuda,2006,27.46641666666667
Antigua And Barbuda,2007,27.509083333333336
Antigua And Barbuda,2008,26.96541666666667
Antigua And Barbuda,2009,27.277333333333335
Antigua And Barbuda,2010,27.73541666666667
Antigua And Barbuda,2011,27.296166666666664
Antigua And Barbuda,2012,27.433499999999995
Argentina,1992,14.739166666666664
Argentina,1993,15.098666666666668
Argentina,1994,15.578666666666669
Argentina,1995,15.149833333333333
Argentina,1996,15.211583333333332
Argentina,1997,15.620666666666667
Argentina,1998,15.261750000000001
Argentina,1999,15.064916666666663
Argentina,2000,14.7505
Argentina,2001,15.370416666666666
Argentina,2002,15.183750000000003
Argentina,2003,15.518333333333336
Argentina,2004,15.442166666666667
Argentina,2005,15.112833333333334
Argentina,2006,15.561083333333329
Argentina,2007,14.628083333333336
Argentina,2008,15.475999999999999
Argentina,2009,15.534416666666667
Argentina,2010,15.078833333333336
Argentina,2011,15.339666666666668
Argentina,2012,15.688999999999998
Armenia,1992,7.614666666666667
Armenia,1993,7.769666666666667
Armenia,1994,9.02125
Armenia,1995,9.892166666666668
Armenia,1996,9.819166666666666
Armenia,1997,9.246333333333334
Armenia,1998,10.448416666666667
Armenia,1999,10.331000000000001
Armenia,2000,9.918166666666668
Armenia,2001,10.443416666666668
Armenia,2002,9.604999999999999
Armenia,2003,9.423083333333333
Armenia,2004,9.720166666666666
Armenia,2005,9.735416666666667
Armenia,2006,10.053500000000001
Armenia,2007,9.53525
Armenia,2008,9.706750000000001
Armenia,2009,9.842083333333333
Armenia,2010,11.509500000000003
Armenia,2011,9.136000000000001
Armenia,2012,10.35075
Aruba,1992,28.498750000000005
Aruba,1993,28.589166666666667
Aruba,1994,28.482249999999997
Aruba,1995,28.73641666666667
Aruba,1996,28.479583333333338
Aruba,1997,28.763333333333332
Aruba,1998,28.982499999999998
Aruba,1999,28.197916666666668
Aruba,2000,28.127999999999997
Aruba,2001,28.630916666666664
Aruba,2002,28.849249999999998
Aruba,2003,28.84966666666666
Aruba,2004,28.506
Aruba,2005,28.77225
Aruba,2006,28.804666666666666
Aruba,2007,28.82283333333333
Aruba,2008,28.45025
Aruba,2009,28.832000000000004
Aruba,2010,28.968333333333334
Aruba,2011,28.513333333333332
Aruba,2012,28.652333333333335
Asia,1992,7.671916666666665
Asia,1993,7.823166666666666
Asia,1994,8.04125
Asia,1995,8.705833333333333
Asia,1996,7.8879166666666665
Asia,1997,8.281500000000001
Asia,1998,8.29425
Asia,1999,8.379500000000002
Asia,2000,8.252583333333332
Asia,2001,8.450916666666666
Asia,2002,8.645333333333333
Asia,2003,8.534
Asia,2004,8.488833333333334
Asia,2005,8.666666666666668
Asia,2006,8.406916666666667
Asia,2007,9.100666666666667
Asia,2008,8.764999999999999
Asia,2009,8.442333333333336
Asia,2010,8.575583333333334
Asia,2011,8.573999999999998
Asia,2012,8.429333333333334
Australia,1992,21.932583333333337
Australia,1993,22.160166666666665
Australia,1994,22.03025
Australia,1995,21.955166666666667
Australia,1996,22.325333333333333
Australia,1997,22.086000000000002
Australia,1998,22.664833333333334
Australia,1999,22.0645
Australia,2000,21.709666666666667
Australia,2001,21.79275
Australia,2002,22.46083333333333
Australia,2003,22.44033333333333
Australia,2004,22.286916666666666
Australia,2005,22.896833333333333
Australia,2006,22.264416666666666
Australia,2007,22.48675
Australia,2008,22.225916666666667
Australia,2009,22.690583333333333
Australia,2010,22.078166666666664
Australia,2011,21.767
Australia,2012,22.0245
Austria,1992,7.615583333333334
Austria,1993,6.858666666666665
Austria,1994,8.164916666666667
Austria,1995,6.846499999999999
Austria,1996,5.863250000000001
Austria,1997,7.025083333333335
Austria,1998,7.222750000000001
Austria,1999,7.234249999999999
Austria,2000,8.084916666666668
Austria,2001,7.1889166666666675
Austria,2002,7.91525
Austria,2003,7.509333333333333
Austria,2004,6.906083333333332
Austria,2005,6.609500000000001
Austria,2006,7.277583333333335
Austria,2007,7.976500000000001
Austria,2008,7.801916666666668
Austria,2009,7.616
Austria,2010,6.6490833333333335
Austria,2011,7.855583333333332
Austria,2012,7.611333333333334
Azerbaijan,1992,10.721333333333334
Azerbaijan,1993,10.526083333333334
Azerbaijan,1994,11.472916666666668
Azerbaijan,1995,12.731583333333333
Azerbaijan,1996,12.202250000000001
Azerbaijan,1997,11.894416666666666
Azerbaijan,1998,12.95875
Azerbaijan,1999,12.851750000000003
Azerbaijan,2000,12.632
Azerbaijan,2001,13.09725
Azerbaijan,2002,12.432250000000002
Azerbaijan,2003,11.984749999999998
Azerbaijan,2004,12.6195
Azerbaijan,2005,12.687249999999999
Azerbaijan,2006,12.71225
Azerbaijan,2007,12.51483333333333
Azerbaijan,2008,12.365499999999999
Azerbaijan,2009,12.611666666666665
Azerbaijan,2010,13.962666666666665
Azerbaijan,2011,11.808666666666666
Azerbaijan,2012,13.08675
Bahamas,1992,25.465499999999995
Bahamas,1993,25.54983333333333
Bahamas,1994,26.0245
Bahamas,1995,25.76866666666667
Bahamas,1996,25.38541666666667
Bahamas,1997,26.190833333333334
Bahamas,1998,26.2295
Bahamas,1999,25.622666666666664
Bahamas,2000,25.44916666666667
Bahamas,2001,25.580666666666673
Bahamas,2002,26.116250000000004
Bahamas,2003,26.180333333333333
Bahamas,2004,25.84975
Bahamas,2005,25.801666666666673
Bahamas,2006,25.715750000000003
Bahamas,2007,26.034750000000003
Bahamas,2008,25.899749999999997
Bahamas,2009,25.769166666666667
Bahamas,2010,25.22916666666667
Bahamas,2011,26.003249999999994
Bahamas,2012,25.816416666666665
Bahrain,1992,25.177666666666667
Bahrain,1993,26.165916666666664
Bahrain,1994,26.733750000000004
Bahrain,1995,26.257416666666668
Bahrain,1996,26.827499999999997
Bahrain,1997,26.190916666666666
Bahrain,1998,27.61241666666667
Bahrain,1999,27.74241666666667
Bahrain,2000,27.07075
Bahrain,2001,27.431
Bahrain,2002,27.266416666666668
Bahrain,2003,27.370666666666665
Bahrain,2004,27.15025
Bahrain,2005,26.983166666666666
Bahrain,2006,27.22125
Bahrain,2007,27.216083333333334
Bahrain,2008,27.033083333333334
Bahrain,2009,27.310333333333336
Bahrain,2010,28.069666666666667
Bahrain,2011,27.10383333333333
Bahrain,2012,27.52933333333333
Baker Island,1992,25.810333333333336
Baker Island,1993,25.73566666666667
Baker Island,1994,25.876999999999995
Baker Island,1995,25.86225
Baker Island,1996,25.726583333333334
Baker Island,1997,26.120583333333332
Baker Island,1998,26.64566666666666
Baker Island,1999,25.871166666666667
Baker Island,2000,25.912166666666668
Baker Island,2001,26.037583333333334
Baker Island,2002,26.248083333333337
Baker Island,2003,26.125583333333335
Baker Island,2004,26.07625
Baker Island,2005,26.10941666666667
Baker Island,2006,26.16025
Baker Island,2007,26.077583333333337
Baker Island,2008,25.765499999999992
Baker Island,2009,26.210416666666664
Baker Island,2010,26.205249999999996
Baker Island,2011,25.926000000000002
Baker Island,2012,26.181416666666667
Bangladesh,1992,25.122249999999998
Bangladesh,1993,25.00316666666667
Bangladesh,1994,25.26166666666666
Bangladesh,1995,25.415833333333335
Bangladesh,1996,25.440250000000006
Bangladesh,1997,24.85925
Bangladesh,1998,25.52416666666667
Bangladesh,1999,25.71483333333333
Bangladesh,2000,25.150166666666667
Bangladesh,2001,25.337
Bangladesh,2002,25.38033333333334
Bangladesh,2003,25.280833333333334
Bangladesh,2004,25.38633333333333
Bangladesh,2005,25.532
Bangladesh,2006,25.76566666666667
Bangladesh,2007,25.34375
Bangladesh,2008,25.3895
Bangladesh,2009,25.904916666666665
Bangladesh,2010,25.94033333333333
Bangladesh,2011,25.205083333333334
Bangladesh,2012,25.533583333333336
Barbados,1992,26.904666666666667
Barbados,1993,27.05683333333334
Barbados,1994,26.96008333333333
Barbados,1995,27.326000000000004
Barbados,1996,27.01825
Barbados,1997,27.239333333333338
Barbados,1998,27.625083333333336
Barbados,1999,27.140833333333333
Barbados,2000,26.902083333333337
Barbados,2001,27.221833333333333
Barbados,2002,27.26608333333333
Barbados,2003,27.440083333333337
Barbados,2004,27.22541666666667
Barbados,2005,27.67716666666667
Barbados,2006,27.502250000000004
Barbados,2007,27.36641666666667
Barbados,2008,27.003833333333336
Barbados,2009,27.320333333333334
Barbados,2010,27.84466666666667
Barbados,2011,27.39525
Barbados,2012,27.346666666666668
Belarus,1992,7.132000000000001
Belarus,1993,6.013833333333333
Belarus,1994,6.735916666666665
Belarus,1995,7.021250000000002
Belarus,1996,5.656583333333333
Belarus,1997,6.34375
Belarus,1998,6.528333333333333
Belarus,1999,7.712750000000001
Belarus,2000,7.909833333333334
Belarus,2001,7.092250000000001
Belarus,2002,7.7019166666666665
Belarus,2003,6.724916666666665
Belarus,2004,6.905833333333334
Belarus,2005,6.968083333333333
Belarus,2006,6.992083333333333
Belarus,2007,7.928166666666667
Belarus,2008,8.13075
Belarus,2009,7.196416666666668
Belarus,2010,7.037250000000001
Belarus,2011,7.5885
Belarus,2012,6.835166666666667
Belgium,1992,10.48925
Belgium,1993,9.925833333333333
Belgium,1994,10.996749999999999
Belgium,1995,10.696750000000002
Belgium,1996,8.893166666666668
Belgium,1997,10.472416666666666
Belgium,1998,10.369166666666667
Belgium,1999,10.93425
Belgium,2000,11.03425
Belgium,2001,10.543333333333335
Belgium,2002,11.035750000000002
Belgium,2003,10.87025
Belgium,2004,10.452583333333331
Belgium,2005,10.727833333333335
Belgium,2006,11.09525
Belgium,2007,11.1455
Belgium,2008,10.504916666666666
Belgium,2009,10.628499999999999
Belgium,2010,9.361749999999999
Belgium,2011,11.305333333333335
Belgium,2012,10.351833333333333
Belize,1992,25.647916666666664
Belize,1993,25.603083333333334
Belize,1994,25.908916666666666
Belize,1995,26.00475
Belize,1996,25.4505
Belize,1997,26.08825
Belize,1998,26.22816666666667
Belize,1999,25.366666666666664
Belize,2000,25.284999999999997
Belize,2001,25.52391666666667
Belize,2002,25.787333333333336
Belize,2003,25.865333333333336
Belize,2004,25.744083333333332
Belize,2005,25.919
Belize,2006,25.7085
Belize,2007,25.85875
Belize,2008,25.524666666666672
Belize,2009,25.907749999999997
Belize,2010,25.50233333333333
Belize,2011,25.84275
Belize,2012,25.734416666666664
Benin,1992,27.230583333333332
Benin,1993,27.597916666666663
Benin,1994,27.335583333333332
Benin,1995,27.616166666666672
Benin,1996,27.703916666666668
Benin,1997,27.542
Benin,1998,28.088583333333336
Benin,1999,27.680416666666662
Benin,2000,27.63766666666666
Benin,2001,27.67583333333334
Benin,2002,27.819500000000005
Benin,2003,27.964583333333334
Benin,2004,27.872
Benin,2005,28.153333333333332
Benin,2006,28.144333333333336
Benin,2007,28.0705
Benin,2008,27.690916666666666
Benin,2009,28.15608333333333
Benin,2010,28.325583333333338
Benin,2011,28.06116666666667
Benin,2012,27.751833333333337
Bhutan,1992,11.826833333333335
Bhutan,1993,12.08775
Bhutan,1994,12.299666666666665
Bhutan,1995,12.428416666666665
Bhutan,1996,12.374666666666668
Bhutan,1997,11.578833333333334
Bhutan,1998,12.589833333333331
Bhutan,1999,12.814916666666663
Bhutan,2000,11.998416666666666
Bhutan,2001,12.425749999999999
Bhutan,2002,12.180333333333337
Bhutan,2003,12.232583333333336
Bhutan,2004,12.208083333333335
Bhutan,2005,12.445916666666667
Bhutan,2006,12.854
Bhutan,2007,12.6995
Bhutan,2008,12.456333333333333
Bhutan,2009,13.114749999999999
Bhutan,2010,12.947250000000002
Bhutan,2011,12.400250000000002
Bhutan,2012,12.27975
Bolivia,1992,21.205916666666667
Bolivia,1993,21.52491666666667
Bolivia,1994,21.984750000000002
Bolivia,1995,21.730583333333332
Bolivia,1996,21.05366666666667
Bolivia,1997,21.611333333333334
Bolivia,1998,21.467333333333332
Bolivia,1999,21.03175
Bolivia,2000,21.077166666666667
Bolivia,2001,21.234083333333334
Bolivia,2002,21.60575
Bolivia,2003,21.26275
Bolivia,2004,21.571
Bolivia,2005,21.371750000000002
Bolivia,2006,21.470000000000002
Bolivia,2007,21.12933333333333
Bolivia,2008,21.189000000000004
Bolivia,2009,21.37833333333333
Bolivia,2010,21.446416666666664
Bolivia,2011,21.55541666666667
Bolivia,2012,21.60716666666667
"Bonaire, Saint Eustatius And Saba",1992,27.706
"Bonaire, Saint Eustatius And Saba",1993,27.762999999999995
"Bonaire, Saint Eustatius And Saba",1994,27.6945
"Bonaire, Saint Eustatius And Saba",1995,27.990500000000008
"Bonaire, Saint Eustatius And Saba",1996,27.737500000000008
"Bonaire, Saint Eustatius And Saba",1997,27.86966666666667
"Bonaire, Saint Eustatius And Saba",1998,28.281499999999998
"Bonaire, Saint Eustatius And Saba",1999,27.534916666666664
"Bonaire, Saint Eustatius And Saba",2000,27.412166666666668
"Bonaire, Saint Eustatius And Saba",2001,27.88116666666667
"Bonaire, Saint Eustatius And Saba",2002,28.074583333333337
"Bonaire, Saint Eustatius And Saba",2003,28.111666666666668
"Bonaire, Saint Eustatius And Saba",2004,27.69125
"Bonaire, Saint Eustatius And Saba",2005,28.085333333333335
"Bonaire, Saint Eustatius And Saba",2006,28.08016666666667
"Bonaire, Saint Eustatius And Saba",2007,28.13575
"Bonaire, Saint Eustatius And Saba",2008,27.78033333333333
"Bonaire, Saint Eustatius And Saba",2009,28.13916666666667
"Bonaire, Saint Eustatius And Saba",2010,28.370583333333332
"Bonaire, Saint Eustatius And Saba",2011,27.851499999999998
"Bonaire, Saint Eustatius And Saba",2012,27.996416666666665
Bosnia And Herzegovina,1992,11.444416666666667
Bosnia And Herzegovina,1993,10.959666666666665
Bosnia And Herzegovina,1994,12.079083333333335
Bosnia And Herzegovina,1995,10.7585
Bosnia And Herzegovina,1996,10.252
Bosnia And Herzegovina,1997,10.7885
Bosnia And Herzegovina,1998,11.104583333333332
Bosnia And Herzegovina,1999,11.376416666666666
Bosnia And Herzegovina,2000,12.148083333333334
Bosnia And Herzegovina,2001,11.380666666666668
Bosnia And Herzegovina,2002,11.858333333333334
Bosnia And Herzegovina,2003,11.495166666666664
Bosnia And Herzegovina,2004,10.998333333333333
Bosnia And Herzegovina,2005,10.302083333333334
Bosnia And Herzegovina,2006,11.07125
Bosnia And Herzegovina,2007,12.001750000000001
Bosnia And Herzegovina,2008,12.056666666666667
Bosnia And Herzegovina,2009,11.860666666666667
Bosnia And Herzegovina,2010,11.271416666666667
Bosnia And Herzegovina,2011,11.73975
Bosnia And Herzegovina,2012,12.028999999999998
Botswana,1992,23.290833333333335
Botswana,1993,22.68075
Botswana,1994,22.379166666666666
Botswana,1995,23.213833333333337
Botswana,1996,22.19966666666667
Botswana,1997,22.33683333333333
Botswana,1998,23.070583333333335
Botswana,1999,22.977999999999998
Botswana,2000,21.872333333333334
Botswana,2001,22.3505
Botswana,2002,22.98566666666667
Botswana,2003,23.395166666666668
Botswana,2004,22.346083333333336
Botswana,2005,23.36883333333334
Botswana,2006,21.804000000000002
Botswana,2007,22.400499999999997
Botswana,2008,22.311166666666665
Botswana,2009,22.139750000000003
Botswana,2010,22.730166666666662
Botswana,2011,21.955083333333334
Botswana,2012,22.40008333333333
Brazil,1992,25.251333333333335
Brazil,1993,25.354916666666668
Brazil,1994,25.454666666666668
Brazil,1995,25.55441666666667
Brazil,1996,25.337833333333332
Brazil,1997,25.559416666666667
Brazil,1998,25.95875
Brazil,1999,25.286583333333336
Brazil,2000,25.1965
Brazil,2001,25.50441666666667
Brazil,2002,25.80033333333334
Brazil,2003,25.621
Brazil,2004,25.4965
Brazil,2005,25.806
Brazil,2006,25.516999999999996
Brazil,2007,25.668000000000003
Brazil,2008,25.41033333333333
Brazil,2009,25.600583333333333
Brazil,2010,25.812416666666667
Brazil,2011,25.428916666666662
Brazil,2012,25.717083333333335
British Virgin Islands,1992,26.776416666666666
British Virgin Islands,1993,26.930499999999995
British Virgin Islands,1994,27.040750000000003
British Virgin Islands,1995,27.228916666666667
British Virgin Islands,1996,26.743583333333337
British Virgin Islands,1997,27.114666666666665
British Virgin Islands,1998,27.45233333333334
British Virgin Islands,1999,26.998250000000002
British Virgin Islands,2000,26.73058333333334
British Virgin Islands,2001,27.133166666666668
British Virgin Islands,2002,27.297833333333333
British Virgin Islands,2003,27.376583333333333
British Virgin Islands,2004,27.029250000000005
British Virgin Islands,2005,27.424666666666667
British Virgin Islands,2006,27.37483333333334
British Virgin Islands,2007,27.47
British Virgin Islands,2008,26.924000000000003
British Virgin Islands,2009,27.2385
British Virgin Islands,2010,27.593666666666664
British Virgin Islands,2011,27.15925
British Virgin Islands,2012,27.360166666666668
Bulgaria,1992,11.021749999999999
Bulgaria,1993,10.713416666666667
Bulgaria,1994,12.200416666666664
Bulgaria,1995,10.809666666666667
Bulgaria,1996,10.4285
Bulgaria,1997,10.225333333333333
Bulgaria,1998,11.098916666666666
Bulgaria,1999,11.7885
Bulgaria,2000,11.906833333333333
Bulgaria,2001,11.623833333333332
Bulgaria,2002,11.680333333333332
Bulgaria,2003,10.953000000000001
Bulgaria,2004,11.241666666666667
Bulgaria,2005,10.781583333333332
Bulgaria,2006,11.117583333333334
Bulgaria,2007,12.314000000000002
Bulgaria,2008,11.98775
Bulgaria,2009,11.894
Bulgaria,2010,11.766333333333334
Bulgaria,2011,11.047833333333331
Bulgaria,2012,12.027583333333332
Burkina Faso,1992,28.132000000000005
Burkina Faso,1993,28.621083333333335
Burkina Faso,1994,28.039333333333342
Burkina Faso,1995,28.469583333333333
Burkina Faso,1996,28.73908333333333
Burkina Faso,1997,28.569166666666664
Burkina Faso,1998,28.99291666666667
Burkina Faso,1999,28.451166666666662
Burkina Faso,2000,28.591416666666664
Burkina Faso,2001,28.732166666666668
Burkina Faso,2002,28.978166666666667
Burkina Faso,2003,28.8835
Burkina Faso,2004,28.989166666666662
Burkina Faso,2005,29.238333333333326
Burkina Faso,2006,28.920249999999996
Burkina Faso,2007,28.983249999999998
Burkina Faso,2008,28.48958333333334
Burkina Faso,2009,29.082999999999995
Burkina Faso,2010,29.288750000000004
Burkina Faso,2011,29.060666666666663
Burkina Faso,2012,28.63
Burma,1992,23.636999999999997
Burma,1993,23.856916666666667
Burma,1994,24.14333333333333
Burma,1995,24.255250000000004
Burma,1996,24.108333333333334
Burma,1997,23.870583333333332
Burma,1998,24.78125
Burma,1999,24.380166666666668
Burma,2000,23.93083333333334
Burma,2001,24.327250000000003
Burma,2002,24.29241666666667
Burma,2003,24.288083333333333
Burma,2004,24.108249999999998
Burma,2005,24.581083333333336
Burma,2006,24.432166666666664
Burma,2007,24.159666666666666
Burma,2008,24.175916666666666
Burma,2009,24.701333333333334
Burma,2010,24.858666666666668
Burma,2011,24.109333333333336
Burma,2012,24.73441666666667
Burundi,1992,20.568249999999995
Burundi,1993,20.483333333333334
Burundi,1994,20.538999999999998
Burundi,1995,20.824333333333332
Burundi,1996,20.395750000000003
Burundi,1997,20.784250000000004
Burundi,1998,20.8135
Burundi,1999,20.313999999999997
Burundi,2000,20.595833333333335
Burundi,2001,20.510333333333335
Burundi,2002,20.74983333333333
Burundi,2003,20.93133333333333
Burundi,2004,20.960416666666667
Burundi,2005,21.442166666666665
Burundi,2006,21.066333333333333
Burundi,2007,20.580916666666667
Burundi,2008,20.567916666666665
Burundi,2009,20.76425
Burundi,2010,21.06875
Burundi,2011,20.545916666666667
Burundi,2012,20.75425
Cambodia,1992,27.070499999999996
Cambodia,1993,26.90825
Cambodia,1994,27.123083333333337
Cambodia,1995,27.080416666666668
Cambodia,1996,26.83883333333334
Cambodia,1997,27.219333333333335
Cambodia,1998,27.956833333333336
Cambodia,1999,26.834749999999996
Cambodia,2000,27.05716666666667
Cambodia,2001,27.245833333333334
Cambodia,2002,27.55541666666667
Cambodia,2003,27.299416666666673
Cambodia,2004,27.17941666666667
Cambodia,2005,27.39
Cambodia,2006,27.413916666666665
Cambodia,2007,27.241833333333336
Cambodia,2008,26.897083333333338
Cambodia,2009,27.252750000000002
Cambodia,2010,27.875249999999998
Cambodia,2011,27.003500000000003
Cambodia,2012,27.806250000000002
Cameroon,1992,24.297333333333338
Cameroon,1993,24.66225
Cameroon,1994,24.631666666666664
Cameroon,1995,24.817999999999998
Cameroon,1996,24.70075
Cameroon,1997,24.817333333333334
Cameroon,1998,25.32308333333333
Cameroon,1999,24.656166666666667
Cameroon,2000,24.613000000000003
Cameroon,2001,24.65191666666667
Cameroon,2002,24.95025
Cameroon,2003,25.01233333333333
Cameroon,2004,25.17083333333333
Cameroon,2005,25.267833333333332
Cameroon,2006,25.293416666666662
Cameroon,2007,25.209833333333336
Cameroon,2008,25.121083333333335
Cameroon,2009,25.40733333333333
Cameroon,2010,25.46475
Cameroon,2011,24.87658333333333
Cameroon,2012,24.877
Canada,1992,-4.928916666666666
Canada,1993,-4.4014999999999995
Canada,1994,-4.433666666666666
Canada,1995,-4.314333333333334
Canada,1996,-4.941166666666667
Canada,1997,-4.2315000000000005
Canada,1998,-2.553916666666666
Canada,1999,-3.1863333333333337
Canada,2000,-4.025916666666666
Canada,2001,-3.1000833333333326
Canada,2002,-4.362833333333334
Canada,2003,-3.8595000000000006
Canada,2004,-4.9230833333333335
Canada,2005,-3.30875
Canada,2006,-2.4601666666666664
Canada,2007,-4.060916666666667
Canada,2008,-4.29525
Canada,2009,-4.135083333333335
Canada,2010,-1.8879166666666662
Canada,2011,-3.557083333333333
Canada,2012,-3.176833333333334
Cape Verde,1992,24.682249999999996
Cape Verde,1993,24.44966666666667
Cape Verde,1994,24.458833333333335
Cape Verde,1995,25.167333333333332
Cape Verde,1996,25.230666666666668
Cape Verde,1997,25.306166666666666
Cape Verde,1998,25.373666666666665
Cape Verde,1999,24.627
